LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,CREDIT_UTILIZATION,BILL_CHANGE_MEAN,MAX_DELAY,LAST_DELAY,RECENT_PAY_RATIO,PAYMENT_STD,TOTAL_BILL,TOTAL_PAY,PAY_TO_BILL_RATIO
440000,2,2,2,39,0,0,0,0,0,0,431557,743970,423621,385873,364175,376228,18174,20341,13005,15410,72000,14500,0.9808113636363636,140852.2,0,0,0.0421126293861529,22897.326766822946,2725424.0,153430,0.0562958277317584
420000,1,1,1,39,0,0,0,0,0,0,100333,102906,105030,107146,107896,110149,5138,5267,5347,4019,4152,4173,0.2388880952380952,1963.2,0,0,0.0512094724567191,628.0021231386615,633460.0,28096,0.0443532346162346
220000,1,1,1,39,0,0,0,0,0,0,75190,151004,152786,137946,118310,119147,100000,8000,6000,5000,5000,5000,0.3417727272727273,22581.8,0,0,1.3299640909695438,38474.666990111815,754383.0,129000,0.1710006720724088
360000,1,1,2,29,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-1,-1,0.0,0.0,0.0,0,0.0
310000,2,2,1,62,0,0,0,0,0,0,113529,116101,119953,119583,120837,99114,5000,6000,5005,5000,4000,3000,0.3662225806451613,5954.2,0,0,0.0440416105136132,1033.1202737338958,689117.0,28005,0.0406389626144762
20000,1,2,2,28,0,0,0,0,0,0,17027,34235,18478,19215,15915,0,1500,3000,1200,400,0,0,0.85135,10583.4,0,0,0.0880953779291713,1153.1117320826577,104870.0,6100,0.0581672546962906
20000,1,2,2,22,0,0,0,0,0,0,4341,5356,6376,7382,7375,7531,1245,1265,1271,264,275,900,0.21705,640.8,0,0,0.2868002764340013,485.71843695705024,38361.0,5220,0.1360757018847266
450000,2,2,1,34,0,0,0,0,0,0,372188,383052,74835,87584,95161,103398,20000,3703,15000,10000,10000,25000,0.8270844444444444,69528.8,0,0,0.0537362838135565,7694.32917803755,1116218.0,83703,0.0749880399706867
80000,1,2,1,47,0,0,0,0,0,0,52690,51560,51047,48260,46198,43253,2022,1711,1584,1576,1690,1285,0.658625,1887.4,0,0,0.0383754033023344,239.41233607871308,293008.0,9868,0.0336782613444001
20000,2,2,2,29,0,0,0,0,0,0,12742,8438,9792,10990,13990,10000,1500,1500,1500,3000,2000,0,0.6371,2769.2,0,0,0.1177209229320357,970.3951085339758,65952.0,9500,0.1440441533236293
110000,1,3,2,36,-1,-1,-1,-1,-1,-1,2509,1260,0,0,0,0,1260,0,0,0,0,0,0.0228090909090909,501.8,-1,-1,0.502192108409725,514.3928459844674,3769.0,1260,0.3343061820111435
80000,1,2,2,26,0,0,0,0,0,0,76304,78680,79897,27950,28579,29138,4203,3900,1200,1230,1230,1000,0.9538,11345.6,0,0,0.0550823023694694,1496.127055656259,320548.0,12763,0.0398161897750102
330000,2,1,1,50,-1,-1,-1,-1,-1,-1,8872,4337,2854,1690,0,1709,4345,2854,1702,0,1709,258,0.0268848484848484,2116.2,-1,-1,0.4897430117222723,1626.2115073589496,19462.0,10868,0.5584215394101326
50000,2,3,2,28,1,3,3,2,2,2,40527,42066,41126,40165,42683,43843,2500,0,0,3200,2000,1700,0.81054,1423.6,3,1,0.0616872702149184,1315.5480480266262,250410.0,9400,0.03753843696338
210000,1,3,2,37,-1,-1,-1,-1,-1,-1,53748,98002,10347,20198,2960,976,99737,11188,20564,3486,976,1060,0.2559428571428571,32196.4,-1,-1,1.855641140135447,38421.551142121614,186231.0,137011,0.7357045819439298
70000,2,3,3,34,1,2,2,2,2,2,16354,17295,16720,18438,18004,19546,1500,0,2000,0,2000,0,0.2336285714285714,1042.0,2,1,0.091720679955974,1020.6207261596576,106357.0,5500,0.0517126282238122
180000,1,1,1,37,1,-1,-1,-1,-1,0,0,0,0,0,2201,2201,0,0,0,2201,0,0,0.0,440.2,1,1,0.0,898.5544873109625,4402.0,2201,0.5
50000,2,1,2,22,2,2,0,0,0,0,50345,49245,50061,37766,29433,27537,0,1728,1730,1015,1000,1001,1.0,4888.0,2,2,0.0,636.5004320501283,244387.0,6474,0.02649077078568
50000,2,2,1,44,0,0,0,0,0,0,50496,47955,48751,37140,19535,19492,2007,10109,1514,1000,1000,1000,1.0,6519.2,0,0,0.03974572243346,3617.162128888705,223369.0,16630,0.0744507966638163
150000,1,2,1,34,0,0,0,0,0,0,132214,135140,135263,137540,144786,146379,4414,4700,4306,10006,4822,4112,0.8814266666666667,2833.0,0,0,0.0333852693360763,2274.5122260974254,831322.0,32360,0.0389259516769675
30000,1,2,2,27,0,0,0,2,0,0,25081,26358,29319,28510,29813,30179,2000,3700,0,2000,910,917,0.8360333333333333,1343.2,2,0,0.0797416370958095,1283.0978788333596,169260.0,9527,0.0562861869313482
230000,2,2,1,32,0,0,0,0,0,0,55623,59913,60991,37289,37368,37357,5855,3000,1848,1457,4443,0,0.2418391304347826,5832.0,0,0,0.1052622116750265,2126.779670456408,288541.0,16603,0.0575412159797047
20000,1,2,2,24,1,2,-1,0,-1,-1,12060,11047,780,390,12246,12409,0,780,0,12246,911,0,0.603,4737.8,2,1,0.0,4879.129201677965,48932.0,13937,0.2848238371617755
90000,2,1,1,41,-1,-1,-1,-1,-1,-1,6160,3274,6190,307,2870,670,3276,6246,307,2870,670,1362,0.0684444444444444,3289.6,-1,-1,0.5318181818181819,2200.578325501428,19471.0,14731,0.756561039494633
90000,2,3,1,33,2,2,2,2,2,2,75619,77116,78252,78470,81056,82572,3300,3000,2100,4000,3001,3100,0.8402111111111111,1390.6,2,2,0.0436398259696637,611.2556748202834,473085.0,18501,0.0391071371952186
230000,1,1,2,28,0,0,0,0,0,0,28534,27104,24415,29002,12415,10607,15222,10016,10083,5030,5003,5043,0.1240608695652173,5420.2,0,0,0.5334688441858835,4150.893530313684,132077.0,50397,0.3815728703710714
80000,2,3,1,40,0,0,0,0,0,0,35660,37082,38464,38922,40791,43108,2000,2000,1397,2500,3000,1600,0.44575,1489.6,0,0,0.0560852495793606,588.6324546494753,234027.0,12497,0.0533998213881304
50000,2,2,2,22,0,0,0,0,0,0,51417,48260,43889,35324,24146,22914,2054,1981,1344,810,828,824,1.0,5700.6,0,0,0.0399478771612501,587.0933202367974,225950.0,7841,0.0347023677804824
120000,1,3,1,45,0,0,-1,-1,0,0,24591,16160,225,3550,3550,3550,3000,225,3550,0,0,0,0.204925,5538.2,0,0,0.1219958521410272,1673.5005726520285,51626.0,6775,0.1312323247975826
310000,2,2,1,28,0,0,0,0,0,0,106540,110211,208505,150380,38551,42901,5000,100000,7000,10000,5000,5000,0.3436774193548387,55253.8,0,0,0.0469307302421625,38262.25293941798,657088.0,132000,0.2008863348592578
30000,1,3,1,35,0,0,0,0,0,0,28486,28182,26168,23119,23268,29327,2000,3000,5000,3000,7000,1156,0.9495333333333332,2315.0,0,0,0.0702099276837744,2132.617171458581,158550.0,21156,0.1334342478713339
50000,1,2,2,30,-1,0,0,2,0,0,1382,2496,4533,4279,4592,0,1300,2254,0,313,0,0,0.02764,1662.0,2,-1,0.9406657018813314,935.5429974084568,17282.0,3867,0.2237588242101608
30000,2,1,2,24,0,0,0,0,0,0,4848,6524,6290,4440,4531,1300,3000,1108,1000,91,26,0,0.1616,1416.4,0,0,0.6188118811881188,1156.4183354939798,27933.0,5225,0.1870547381233666
130000,2,2,2,29,2,2,0,0,0,-1,172094,156589,145398,136115,138893,127502,0,3300,2500,2778,130000,3689,1.0,10029.6,2,2,0.0,52086.75351148953,876591.0,142267,0.162295757086258
370000,1,2,2,39,2,0,0,0,0,0,334394,337272,340152,345904,322168,272461,14005,12004,12362,12006,9555,11005,0.9037675675675676,16990.6,2,2,0.0418817323277331,1478.5697706454937,1952351.0,70937,0.0363341427847758
50000,2,3,2,61,1,2,0,0,2,0,47731,45925,47041,49180,47500,48479,0,2200,3600,0,1763,1725,0.95462,1544.0,2,1,0.0,1378.8379165079557,285856.0,9288,0.0324918840255233
80000,1,1,2,33,0,0,0,0,-1,-1,59796,60722,31023,-2639,-2787,34732,5000,14016,0,2000,38000,6000,0.74745,20390.8,0,0,0.0836176332865074,14148.74467929929,180847.0,65016,0.359508313657401
30000,2,2,2,26,2,0,0,2,0,0,22364,23732,30699,29727,28834,16361,1753,8500,9,700,1179,138,0.7454666666666667,4534.6,2,2,0.078384904310499,3227.791861319438,151717.0,12279,0.0809335802843451
30000,2,3,1,58,1,2,2,2,3,2,24921,26225,25502,28588,27616,27903,2000,0,3509,0,1128,0,0.8307,1274.4,3,1,0.0802536013803619,1431.3515873700164,160755.0,6637,0.0412864296600416
90000,2,2,2,24,-1,0,0,0,0,0,17524,22184,23270,27372,31905,34954,5000,5000,5000,5000,3600,2000,0.1947111111111111,3486.0,0,-1,0.2853229856197215,1243.650540411842,157209.0,25600,0.162840549841294
